Rk,Team,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors*,28.2,67,15,11.63,-0.28,115.6,104.0,+11.6,99.8,.563,13.2,22.8,.204,.486,13.5,74.9,.198
2,San Antonio Spurs*,29.6,61,21,7.20,-0.06,111.1,103.5,+7.6,94.2,.524,12.6,24.0,.210,.492,13.5,77.6,.192
3,Houston Rockets*,27.4,55,27,5.77,0.08,114.7,109.0,+5.7,100.0,.545,13.3,24.6,.233,.519,13.2,75.8,.194
4,Los Angeles Clippers*,30.0,51,31,4.29,0.13,112.7,108.2,+4.5,96.1,.537,12.0,21.5,.233,.506,12.1,76.9,.211
5,Utah Jazz*,26.8,51,31,3.94,0.06,109.6,105.3,+4.3,91.6,.526,13.2,23.2,.215,.493,11.8,78.9,.195
6,Toronto Raptors*,26.1,51,31,4.21,-0.56,112.3,107.8,+4.5,94.7,.517,11.8,25.0,.233,.507,13.5,76.3,.223
7,Cleveland Cavaliers*,29.2,51,31,3.18,-0.31,113.6,110.3,+3.3,96.2,.547,12.6,21.9,.206,.516,11.4,75.8,.174
8,Boston Celtics*,25.9,53,29,2.63,-0.39,111.2,108.4,+2.8,96.8,.525,12.2,21.2,.220,.503,12.6,75.3,.223
9,Washington Wizards*,26.0,49,33,1.80,-0.45,111.2,109.3,+1.9,97.4,.528,12.8,24.1,.199,.524,13.8,75.5,.213
10,Oklahoma City Thunder*,24.7,47,35,0.76,0.39,108.3,107.5,+0.8,97.8,.500,13.2,27.9,.220,.511,12.5,79.0,.218
11,Memphis Grizzlies*,29.5,43,39,0.49,0.47,107.7,107.1,+0.6,92.3,.491,12.1,24.8,.219,.506,13.6,77.5,.256
12,Miami Heat,26.5,41,41,1.06,-0.29,107.8,106.7,+1.1,95.2,.512,12.4,24.2,.177,.496,12.6,76.4,.220
13,Denver Nuggets,25.2,40,42,0.51,0.19,113.2,112.7,+0.5,98.3,.530,13.2,27.3,.214,.532,10.9,78.7,.194
14,Chicago Bulls*,26.9,41,41,0.43,-0.39,107.4,107.0,+0.4,95.3,.487,12.3,27.0,.206,.507,12.4,76.8,.169
15,Charlotte Hornets,26.5,36,46,0.20,-0.26,108.8,108.6,+0.2,95.7,.501,10.7,19.9,.227,.523,12.1,79.6,.164
16,Portland Trail Blazers*,24.8,41,41,-0.52,0.30,110.3,110.8,-0.5,96.7,.520,12.5,23.0,.214,.508,11.6,76.8,.241
17,Milwaukee Bucks*,25.6,42,40,-0.18,-0.26,109.1,109.3,-0.2,94.5,.527,13.2,21.5,.210,.518,13.6,75.4,.215
18,Indiana Pacers*,27.0,42,40,-0.22,-0.42,108.6,108.8,-0.2,95.9,.516,12.8,21.2,.212,.512,13.6,75.5,.225
19,Minnesota Timberwolves,24.0,31,51,-1.11,0.47,110.8,112.0,-1.2,94.6,.511,12.9,27.2,.229,.535,13.2,75.9,.212
20,Atlanta Hawks*,27.9,43,39,-0.85,-0.38,104.9,105.7,-0.8,97.4,.504,14.2,23.6,.215,.507,13.8,76.1,.179
21,Detroit Pistons,25.4,37,45,-1.12,-0.17,106.0,107.1,-1.1,95.0,.492,10.9,24.1,.157,.516,12.1,81.2,.197
22,New Orleans Pelicans,25.7,34,48,-2.10,0.41,105.2,107.4,-2.2,98.0,.504,11.7,18.5,.192,.509,12.4,76.8,.177
23,Dallas Mavericks,27.6,33,49,-2.93,0.40,105.6,108.8,-3.2,92.2,.505,11.6,18.1,.180,.529,14.4,77.6,.218
24,Sacramento Kings,27.9,32,50,-3.88,0.58,107.3,111.3,-4.0,94.9,.516,13.7,21.0,.220,.528,12.9,76.3,.227
25,New York Knicks,27.3,31,51,-3.67,-0.20,107.7,111.5,-3.8,96.0,.496,12.4,26.6,.188,.511,11.7,74.1,.214
26,Phoenix Suns,25.0,24,58,-5.63,0.49,106.6,112.2,-5.6,100.3,.493,13.4,26.0,.231,.525,13.1,76.4,.264
27,Philadelphia 76ers,24.6,28,54,-5.70,-0.14,103.2,108.9,-5.7,98.5,.501,14.9,22.4,.199,.512,13.5,75.3,.234
28,Los Angeles Lakers,25.1,26,56,-6.88,0.58,106.0,113.0,-7.0,98.5,.501,13.5,25.0,.195,.542,13.0,75.8,.213
29,Orlando Magic,25.3,29,53,-6.57,-0.04,103.7,110.5,-6.8,96.8,.489,12.1,21.6,.184,.523,11.9,77.4,.201
30,Brooklyn Nets,26.0,20,62,-6.73,-0.01,104.1,110.7,-6.6,101.3,.507,14.7,19.6,.228,.513,11.6,76.1,.212
