,Age,W,Pace,eFG%,TOV%,ORB%,FT/FGA,Dfg%,Dtov%,DRB%,Dft/fga,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%.1.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%.1,DRB%.1,TRB%,AST%,STL%,BLK%,TOV%.1.1,USG%,year
11,27.2,56,92.5,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,IND,38.49999999999999,86.6,4.442,7.1,19.6,3.087,31.399999999999995,66.89999999999999,4.658,4.817,20.0,25.1,7.742000000000001,10.6,36.7,47.6,22.0,7.3,5.5,15.800000000000002,21.6,103.69999999999996,5.270999999999999,2.092,3.167,50.9,150.10000000000005,102.8,133.70000000000002,14.199999999999998,17.1,142.3,194.5,2014.0
12,28.1,57,95.9,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,LAC,44.2,92.60000000000002,4.997,10.1,27.9,2.815,34.1,64.7,5.3889999999999985,5.527,24.6,32.800000000000004,7.473,10.6,33.4,43.90000000000001,29.0,9.6,4.9,14.7,22.5,122.90000000000002,5.822000000000001,2.9400000000000004,3.73,43.9,126.1,86.4,153.6,16.5,15.6,130.29999999999998,191.7,2014.0
13,26.8,27,98.7,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,LAL,41.0,91.3,4.489999999999998,10.1,25.799999999999994,2.963,30.9,65.3,4.681,5.022,19.3,25.5,7.3199999999999985,10.0,32.3,42.3,26.4,7.8000000000000025,5.700000000000001,15.3,20.4,111.3,5.3870000000000005,2.764,2.8,44.7,139.70000000000002,92.2,155.70000000000005,15.0,16.700000000000006,131.9,201.1,2014.0
14,28.5,50,89.9,0.494,13.1,28.3,0.184,0.4970000000000001,13.8,75.7,0.199,MEM,39.8,85.60000000000002,4.664,4.9,14.6,2.535,34.9,71.2,4.968000000000001,4.992,16.4,21.6,7.341000000000001,11.500000000000002,31.3,42.7,24.2,8.600000000000001,5.0,13.800000000000002,19.0,101.0,5.315,1.902,2.365,55.29999999999999,145.7,100.4,150.7,19.0,17.6,133.0,193.7,2014.0
15,30.6,54,91.2,0.5539999999999999,14.6,20.6,0.228,0.511,15.8,73.0,0.212,MIA,41.90000000000001,83.0,4.878,8.3,23.1,3.4339999999999997,33.599999999999994,60.00000000000001,5.4110000000000005,5.475,19.1,25.0,7.651,7.8,30.2,37.8,25.0,9.7,4.5,15.6,19.6,111.2,5.787999999999999,3.346,2.759,41.5,142.60000000000005,94.0,142.0,20.0,17.4,137.60000000000002,194.9,2014.0
16,24.7,15,91.8,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,MIL,41.40000000000001,95.8,4.342,8.4,23.9,2.7460000000000004,33.1,71.9,4.560999999999999,4.752,21.1,27.200000000000006,7.729000000000001,11.5,32.5,44.0,26.200000000000006,7.399999999999999,4.3,16.4,21.2,112.5,5.193999999999999,2.334,2.9210000000000003,48.40000000000001,144.2,94.7,160.9,14.500000000000002,13.400000000000002,135.8,204.6,2014.0
17,26.3,40,97.3,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,MIN,41.5,92.2,4.48,7.4,21.4,3.2540000000000004,34.3,70.9,4.728,4.8210000000000015,23.5,29.800000000000004,7.476000000000001,13.4,33.2,46.7,24.1,9.1,3.2,13.999999999999998,18.8,114.0,5.249,2.03,3.018,59.2,148.70000000000005,102.7,138.89999999999998,17.000000000000004,11.8,123.79999999999998,193.7,2014.0
18,24.3,34,92.2,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,NOP,40.7,88.30000000000003,4.715000000000002,5.6000000000000005,14.8,2.67,35.3,73.30000000000003,4.846,5.013,19.3,25.2,7.655,11.1,31.6,42.3,27.0,9.1,6.4,15.3,22.90000000000001,106.50000000000004,5.401,1.6,2.765,51.2,146.8,98.3,161.4,18.4,21.1,143.6,198.20000000000005,2014.0
19,28.3,37,90.3,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245,NYK,41.7,91.8,4.632999999999999,10.1,27.1,2.552,31.6,64.7,4.8580000000000005,5.207999999999999,17.2,22.5,7.485999999999999,12.3,34.3,46.8,22.0,8.200000000000001,5.4,13.6,24.6,110.5,5.482,3.028,2.273,51.90000000000001,148.1,98.5,127.9,16.4,17.5,131.79999999999998,185.50000000000003,2014.0
20,26.2,59,95.4,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,OKC,41.1,87.89999999999998,4.664,8.2,23.3,2.722,32.8,64.5,4.9700000000000015,5.092,22.6,27.7,7.558999999999998,10.9,34.99999999999999,45.90000000000001,24.8,9.000000000000002,5.800000000000002,16.5,22.0,112.9,5.4780000000000015,2.4530000000000003,3.216,58.1,149.1,105.6,150.29999999999995,18.1,19.2,157.2,190.3,2014.0
