,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
32,28.6,38,92.7,23.9,BRK,2.664,7.61,14.8,110.8,5.326999999999999,2.532,2.613,106.0,131.7,15.7,13.2,2015.0
33,28.8,50,92.8,27.0,CHI,2.946,7.711,15.4,116.6,5.3340000000000005,2.9690000000000003,2.9480000000000013,98.6,153.60000000000005,13.299999999999995,16.6,2015.0
34,26.0,33,93.0,22.1,CHO,3.1780000000000004,7.483,11.900000000000002,101.2,5.048000000000001,1.9409999999999998,3.3280000000000003,103.3,143.79999999999995,12.6,18.3,2015.0
35,26.9,53,92.3,26.8,CLE,2.7880000000000003,7.522,15.9,122.5,5.4460000000000015,3.125,2.539,99.40000000000002,147.8,17.400000000000002,14.6,2015.0
36,29.9,50,95.2,23.6,DAL,3.153,7.117000000000001,13.2,105.5,5.4689999999999985,3.2629999999999995,2.6710000000000003,96.0,149.39999999999995,16.8,13.9,2015.0
37,26.4,30,96.1,26.6,DEN,2.426,7.476,14.1,106.9,5.21,2.523,2.94,112.20000000000002,120.5,15.400000000000002,17.8,2015.0
38,25.9,32,92.8,27.7,DET,2.7689999999999997,7.42,14.800000000000002,113.3,5.227,3.467,2.605,94.0,150.7,16.3,13.6,2015.0
39,26.6,67,98.3,24.1,GSW,2.635,7.2879999999999985,14.4,112.7,5.6339999999999995,2.416,2.316,103.6,168.9,17.8,17.8,2015.0
40,27.6,56,96.5,26.8,HOU,3.304,6.593999999999999,18.200000000000006,123.40000000000002,5.471,3.299,3.2,112.3,135.4,18.6,20.8,2015.0
41,28.3,38,93.2,24.0,IND,2.583,7.4110000000000005,14.1,104.5,5.263,2.2669999999999995,3.024,105.5,164.3,14.2,14.5,2015.0
42,28.8,56,94.7,22.8,LAC,3.228,7.0120000000000005,12.3,115.4,5.5760000000000005,3.327,2.994,95.3,144.5,16.400000000000002,16.6,2015.0
43,27.0,21,94.0,25.4,LAL,2.306,7.409,14.1,108.4,5.0840000000000005,1.95,2.675,104.6,147.5,14.3,16.2,2015.0
