,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
141,0.396,0.754,38.6,23.0,8.7,5.4,18.7,102.9,MIA,30.3,66.0,-0.84,90.7,0.285,0.588,13.7,22.2,0.224,0.487,14.8,73.0,0.2,2012-13
142,0.359,0.775,41.6,20.0,8.9,5.4,19.4,98.5,MIA,28.3,46.0,-0.27,91.2,0.198,0.5489999999999999,14.5,26.6,0.238,0.479,15.8,73.9,0.2,2011-12
143,0.37,0.769,42.1,20.0,6.6,5.2,20.4,102.1,MIA,29.0,58.0,-0.71,90.9,0.235,0.573,13.5,25.2,0.279,0.475,12.6,75.5,0.223,2010-11
144,0.35600000000000004,0.742,51.7,25.9,7.4,6.0,19.2,118.6,MIL,29.2,53.0,-0.85,105.0,0.423,0.583,12.8,20.7,0.196,0.486,12.2,81.7,0.172,2019-20
145,0.353,0.773,49.7,26.0,7.5,5.9,19.6,118.1,MIL,26.9,60.0,-0.82,103.3,0.419,0.583,12.0,20.8,0.197,0.503,11.5,80.3,0.162,2018-19
146,0.355,0.7829999999999999,39.8,23.2,8.8,5.4,21.4,106.5,MIL,25.9,44.0,-0.15,96.2,0.297,0.5710000000000001,12.9,20.4,0.22,0.528,14.2,75.9,0.22,2017-18
147,0.37,0.768,40.4,24.2,8.1,5.3,20.2,103.6,MIL,25.6,42.0,-0.26,94.5,0.29,0.565,13.2,21.5,0.21,0.518,13.6,75.4,0.215,2016-17
148,0.345,0.747,41.7,23.1,8.2,5.8,20.7,99.0,MIL,23.5,33.0,0.2,94.2,0.189,0.537,14.2,24.9,0.207,0.51,14.2,73.1,0.221,2015-16
149,0.363,0.757,42.1,23.6,9.6,4.9,22.1,97.8,MIL,24.6,41.0,-0.52,94.1,0.223,0.536,15.5,25.4,0.195,0.487,15.9,73.3,0.221,2014-15
150,0.353,0.747,41.1,21.5,6.6,4.9,20.9,95.5,MIL,24.7,15.0,-0.23,91.8,0.231,0.519,14.1,27.1,0.204,0.52,13.2,71.4,0.225,2013-14
151,0.36,0.736,44.0,22.9,8.4,6.7,19.0,98.9,MIL,26.4,38.0,-0.33,94.7,0.232,0.51,12.7,27.9,0.174,0.4920000000000001,14.4,71.3,0.201,2012-13
152,0.345,0.774,42.5,23.5,8.3,5.1,19.3,99.0,MIL,26.2,31.0,-0.5,93.7,0.224,0.521,12.9,27.7,0.194,0.489,14.6,70.9,0.217,2011-12
153,0.342,0.757,40.8,18.8,7.5,4.9,20.5,91.9,MIL,26.7,35.0,-0.17,89.8,0.21600000000000005,0.511,13.0,24.7,0.217,0.481,14.7,74.8,0.236,2010-11
154,0.336,0.753,44.8,23.8,8.7,5.7,21.4,113.3,MIN,24.8,19.0,0.51,103.4,0.433,0.551,13.0,22.1,0.209,0.541,13.2,77.2,0.218,2019-20
155,0.35100000000000003,0.787,44.8,24.6,8.3,5.0,20.3,112.5,MIN,26.2,36.0,0.48,100.2,0.315,0.552,11.4,24.6,0.21,0.5379999999999999,12.9,74.9,0.19,2018-19
156,0.35700000000000004,0.804,42.0,22.7,8.4,4.2,18.2,109.5,MIN,27.1,47.0,0.12,96.0,0.261,0.5660000000000001,11.4,24.4,0.225,0.539,13.9,76.4,0.189,2017-18
157,0.349,0.799,42.4,23.7,8.0,4.5,20.1,105.6,MIN,24.0,31.0,0.47,94.6,0.249,0.555,12.9,27.2,0.229,0.535,13.2,75.9,0.212,2016-17
158,0.338,0.792,41.6,23.4,8.0,4.6,20.7,102.4,MIN,24.6,29.0,0.15,95.2,0.202,0.5489999999999999,13.9,24.3,0.263,0.524,13.6,74.7,0.2,2015-16
159,0.332,0.7759999999999999,40.9,21.6,8.1,4.0,19.2,97.8,MIN,24.4,16.0,0.79,94.4,0.179,0.517,13.7,26.6,0.24,0.537,13.9,71.6,0.187,2014-15
160,0.341,0.778,44.7,23.9,8.8,3.6,18.3,106.9,MIN,26.3,40.0,0.43,97.3,0.245,0.535,12.2,27.4,0.249,0.518,14.8,74.4,0.177,2013-14
161,0.305,0.742,42.0,22.4,8.5,4.7,18.4,95.7,MIN,26.4,31.0,0.54,92.8,0.22,0.516,13.8,27.4,0.226,0.511,15.0,74.0,0.187,2012-13
162,0.332,0.7709999999999999,43.7,19.5,6.6,4.4,18.4,97.9,MIN,24.4,26.0,0.37,93.3,0.262,0.524,14.0,27.5,0.236,0.491,12.2,73.0,0.187,2011-12
163,0.376,0.768,44.4,20.1,7.2,5.1,22.3,101.1,MIN,23.8,17.0,0.67,96.5,0.223,0.526,15.1,29.6,0.217,0.514,13.1,73.7,0.251,2010-11
164,0.363,0.7759999999999999,41.6,21.0,6.3,5.4,20.4,94.1,NOH,24.0,27.0,0.75,88.5,0.224,0.528,14.0,29.2,0.193,0.52,13.1,74.4,0.208,2012-13
165,0.333,0.757,41.1,20.7,7.4,4.8,20.1,89.6,NOH,25.5,21.0,0.65,88.3,0.152,0.517,15.2,27.5,0.207,0.485,13.5,73.1,0.218,2011-12
166,0.36,0.765,40.1,20.6,7.6,4.4,21.0,94.9,NOH,26.3,46.0,0.39,88.7,0.192,0.537,12.8,25.1,0.226,0.501,14.4,76.2,0.22,2010-11
167,0.3720000000000001,0.7290000000000001,47.0,27.0,7.6,5.1,21.0,116.2,NOP,25.4,28.0,1.13,103.9,0.408,0.5670000000000001,13.7,24.3,0.183,0.531,12.3,78.1,0.207,2019-20
168,0.344,0.7609999999999999,47.3,27.0,7.4,5.4,21.1,115.4,NOP,25.7,33.0,0.23,103.3,0.324,0.563,12.6,24.1,0.193,0.532,11.6,76.8,0.193,2018-19
169,0.362,0.772,44.3,26.8,8.0,5.9,19.1,111.7,NOP,27.6,48.0,0.18,100.5,0.319,0.573,13.3,20.0,0.183,0.513,12.5,76.7,0.175,2017-18
170,0.35,0.75,43.7,22.8,7.8,5.5,18.2,104.3,NOP,25.7,34.0,0.41,98.0,0.308,0.539,11.7,18.5,0.192,0.509,12.4,76.8,0.177,2016-17
