Rk,Team,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors*,27.4,73,9,10.76,-0.38,114.5,103.8,+10.7,99.3,.563,13.5,23.5,.191,.479,12.6,76.0,.208
2,San Antonio Spurs*,30.3,67,15,10.63,-0.36,110.3,99.0,+11.3,93.8,.526,12.4,23.0,.197,.477,14.1,79.1,.182
3,Oklahoma City Thunder*,25.8,55,27,7.28,-0.19,113.1,105.6,+7.5,96.7,.524,14.0,31.1,.228,.484,11.7,76.0,.205
4,Cleveland Cavaliers*,28.1,57,25,6.00,-0.55,110.9,104.5,+6.4,93.3,.524,12.7,25.1,.194,.496,12.6,78.5,.205
5,Los Angeles Clippers*,29.7,53,29,4.28,-0.15,108.3,103.8,+4.5,95.8,.524,12.1,20.1,.220,.480,13.8,73.8,.222
6,Toronto Raptors*,26.3,56,26,4.50,-0.42,110.0,105.2,+4.8,92.9,.504,12.3,24.6,.255,.498,12.7,77.7,.201
7,Atlanta Hawks*,28.2,48,34,3.61,-0.12,105.1,101.4,+3.7,97.1,.516,13.8,19.1,.185,.480,14.4,74.6,.194
8,Boston Celtics*,25.2,48,34,3.21,-0.37,106.8,103.6,+3.2,98.5,.488,12.1,25.1,.208,.487,14.6,74.6,.231
9,Charlotte Hornets*,26.0,48,34,2.72,-0.36,107.1,104.3,+2.8,95.7,.502,11.7,20.0,.222,.496,12.5,79.8,.191
10,Utah Jazz,24.2,40,42,1.79,0.05,105.9,103.9,+2.0,91.0,.501,14.2,25.9,.213,.495,13.5,77.7,.210
11,Indiana Pacers*,26.9,45,37,1.71,-0.09,104.6,102.9,+1.7,96.6,.497,13.5,23.4,.205,.489,14.3,76.0,.205
12,Miami Heat*,28.4,48,34,1.65,-0.14,106.1,104.4,+1.7,93.6,.508,13.3,23.8,.210,.485,12.1,77.8,.196
13,Portland Trail Blazers*,24.3,44,38,0.83,0.15,108.8,108.0,+0.8,96.0,.511,13.2,25.9,.202,.503,12.1,76.2,.225
14,Detroit Pistons*,25.0,44,38,0.61,-0.18,106.1,105.5,+0.6,95.1,.491,12.2,27.0,.197,.504,12.5,79.3,.196
15,Houston Rockets*,27.8,41,41,0.20,0.14,108.3,108.1,+0.2,97.6,.516,14.2,25.7,.244,.516,14.7,72.8,.219
16,Dallas Mavericks*,30.3,42,40,-0.30,0.29,106.7,107.0,-0.3,94.3,.502,12.0,20.6,.211,.504,12.8,76.2,.198
17,Washington Wizards,27.3,41,41,-0.50,0.00,105.3,105.8,-0.5,98.5,.511,13.1,20.6,.192,.515,14.6,77.7,.218
18,Chicago Bulls,27.6,42,40,-1.48,0.01,105.0,106.5,-1.5,95.7,.487,12.6,24.5,.189,.485,10.7,74.9,.182
19,Orlando Magic,23.9,35,47,-1.62,-0.06,105.1,106.8,-1.7,96.0,.500,12.8,23.1,.175,.513,13.8,76.5,.215
20,Memphis Grizzlies*,30.5,42,40,-2.24,0.11,105.4,107.8,-2.4,93.3,.477,12.3,25.3,.231,.518,15.2,75.1,.251
21,Sacramento Kings,26.6,33,49,-2.48,0.16,106.0,108.4,-2.4,100.0,.510,14.2,23.9,.214,.521,14.0,74.9,.202
22,New York Knicks,27.2,32,50,-2.73,0.00,104.6,107.6,-3.0,93.4,.483,12.6,23.7,.205,.487,10.5,75.8,.204
23,Denver Nuggets,24.7,33,49,-3.10,0.29,105.6,108.9,-3.3,95.7,.489,13.2,25.8,.216,.515,12.6,77.3,.216
24,Minnesota Timberwolves,24.6,29,53,-3.54,0.15,106.5,110.1,-3.6,95.2,.498,13.9,24.3,.263,.524,13.6,74.7,.200
25,New Orleans Pelicans,26.6,30,52,-3.79,0.24,105.6,109.5,-3.9,96.8,.498,12.3,21.2,.201,.523,12.7,78.8,.225
26,Milwaukee Bucks,23.5,33,49,-4.18,0.20,104.3,108.7,-4.4,94.2,.499,14.2,24.9,.207,.510,14.2,73.1,.221
27,Phoenix Suns,26.0,23,59,-6.66,0.34,102.2,109.0,-6.8,98.5,.487,15.2,25.4,.204,.523,13.5,77.1,.237
28,Brooklyn Nets,26.9,21,61,-7.35,0.24,103.2,110.9,-7.7,95.2,.492,13.6,24.1,.186,.534,13.1,75.7,.176
29,Los Angeles Lakers,26.5,17,65,-9.56,0.64,101.6,111.6,-10.0,95.6,.460,12.5,23.1,.228,.523,11.6,74.7,.202
30,Philadelphia 76ers,23.3,10,72,-10.23,0.31,98.8,109.2,-10.4,97.9,.487,14.8,20.6,.186,.510,13.5,74.0,.240
