,Age,W,TOV%,ORB%,Dfg%,DRB%,Tm,3P%,2P,FT%,DRB,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
27,25.6,48,13.2,27.2,0.493,74.9,TOR,2.944,33.9,7.659,35.7,121.1,5.421,2.634,3.2119999999999997,105.79999999999998,137.89999999999998,15.2,15.6,2014.0
28,24.5,25,13.9,25.5,0.518,74.5,UTA,2.425,31.2,7.525999999999999,30.9,101.2,5.143,2.535,2.305,94.0,136.20000000000002,15.4,12.5,2014.0
29,26.3,44,13.6,25.2,0.504,75.7,WAS,3.299,32.9,7.431999999999999,32.3,107.8,5.343,2.384,2.423,98.7,134.39999999999998,16.2,16.7,2014.0
30,27.8,60,13.5,21.4,0.4920000000000001,73.4,ATL,3.5730000000000004,28.6,7.688,33.4,106.5,5.589,3.659,2.7319999999999998,98.0,164.5,19.0,14.699999999999998,2015.0
31,25.0,40,12.5,24.7,0.494,75.0,BOS,2.714,35.2,7.164,38.6,111.0,5.165,2.562,2.367,105.8,167.2,17.5,12.1,2015.0
32,28.6,38,13.0,23.9,0.506,73.7,BRK,2.664,35.0,7.61,37.0,110.8,5.326999999999999,2.532,2.613,106.0,131.7,15.7,13.2,2015.0
33,28.8,50,12.9,27.0,0.473,74.4,CHI,2.946,33.300000000000004,7.711,38.6,116.6,5.3340000000000005,2.9690000000000003,2.9480000000000013,98.6,153.60000000000005,13.299999999999995,16.6,2015.0
34,26.0,33,11.2,22.1,0.48700000000000004,79.3,CHO,3.1780000000000004,33.30000000000001,7.483,38.0,101.2,5.048000000000001,1.9409999999999998,3.3280000000000003,103.3,143.79999999999995,12.6,18.3,2015.0
35,26.9,53,13.4,26.8,0.502,74.7,CLE,2.7880000000000003,33.5,7.522,35.7,122.5,5.4460000000000015,3.125,2.539,99.40000000000002,147.8,17.400000000000002,14.6,2015.0
36,29.9,50,11.9,23.6,0.503,72.2,DAL,3.153,30.4,7.117000000000001,32.5,105.5,5.4689999999999985,3.2629999999999995,2.6710000000000003,96.0,149.39999999999995,16.8,13.9,2015.0
37,26.4,30,12.7,26.6,0.504,74.7,DEN,2.426,31.4,7.476,36.3,106.9,5.21,2.523,2.94,112.20000000000002,120.5,15.400000000000002,17.8,2015.0
38,25.9,32,12.3,27.7,0.502,75.0,DET,2.7689999999999997,31.9,7.42,35.1,113.3,5.227,3.467,2.605,94.0,150.7,16.3,13.6,2015.0
39,26.6,67,13.1,24.1,0.47,74.5,GSW,2.635,32.0,7.2879999999999985,35.30000000000001,112.7,5.6339999999999995,2.416,2.316,103.6,168.9,17.8,17.8,2015.0
40,27.6,56,15.0,26.8,0.486,72.9,HOU,3.304,33.00000000000001,6.593999999999999,39.39999999999999,123.40000000000002,5.471,3.299,3.2,112.3,135.4,18.6,20.8,2015.0
41,28.3,38,13.1,24.0,0.478,77.9,IND,2.583,31.3,7.4110000000000005,36.6,104.5,5.263,2.2669999999999995,3.024,105.5,164.3,14.2,14.5,2015.0
42,28.8,56,11.6,22.8,0.493,75.7,LAC,3.228,32.3,7.0120000000000005,34.7,115.4,5.5760000000000005,3.327,2.994,95.3,144.5,16.400000000000002,16.6,2015.0
43,27.0,21,12.1,25.4,0.518,76.3,LAL,2.306,34.9,7.409,35.7,108.4,5.0840000000000005,1.95,2.675,104.6,147.5,14.3,16.2,2015.0
44,29.6,55,12.6,24.7,0.4920000000000001,75.3,MEM,2.8420000000000005,34.1,7.552999999999999,32.90000000000001,104.0,5.247000000000001,1.98,2.5420000000000003,96.9,152.5,20.6,14.1,2015.0
45,28.5,37,14.5,23.2,0.505,73.4,MIA,2.7710000000000004,33.1,7.266999999999999,34.3,104.5,5.4030000000000005,2.3149999999999995,3.3710000000000004,112.6,139.5,16.3,20.7,2015.0
46,24.6,41,15.5,25.4,0.48700000000000004,73.3,MIL,2.5569999999999995,34.099999999999994,7.689,33.7,111.2,5.4250000000000025,2.225,2.7510000000000003,99.2,168.50000000000003,20.6,18.5,2015.0
47,24.4,16,13.7,26.6,0.537,71.6,MIN,2.91,38.5,7.8210000000000015,31.9,121.2,5.209,1.729,3.0489999999999995,98.5,141.5,15.3,11.4,2015.0
48,25.3,45,12.5,27.1,0.496,75.1,NOP,2.5989999999999998,34.800000000000004,7.471999999999999,36.10000000000001,115.0,5.5329999999999995,2.58,2.4720000000000004,108.1,132.30000000000004,14.099999999999998,19.9,2015.0
